Waittimes
5.54
6.12
8.25
4.32
6.9
4.92
6.25
2.41
5.25
4.95
3.47
3.4
5.97
5.5
5.92
5.79
5.1
8.14
5.68
7.91
5.34
7.51
6.47
5.11
6.57
2.48
6.5
6.55
6.77
5.78
5.98
4.83
3.75
4.2
5.7
3.49
7.73
3.38
5.8
5.57
6
7.57
5.72
6.59
4.25
4.63
4.38
5.74
4.72
5.88
6.21
5.85
3.74
5.72
5.22
4.4
4.96
5.36
4.2
5.79
3.72
4.34
3.26
5.27
4.46
4.87
5.25
6.54
8
4.65
7.26
8.11
5.54
6.39
6.74
5.39
6.02
4.7
7.17
7.86
7.8
2.9
3.2
8.75
9.9
5.88
6.67
6.17
5.32
6.43
6.1
6.27
6.47
4.99
5.08
4.94
5.26
6.34
5.59
3.78
5.78
8
5.23
3.64
3.63
5.68
4.65
2.36
5.31
6.06
4.42
5.44
4.24
3.97
4.83
7.4
4.57
5.07
5.8
5.19
5.21
5.48
4.7
5.99
5.95
3.14
4.74
5.04
6.19
5.75
4.15
5
4.79
5.01
5.18
6.14
4.62
5.91
3.57
6.96
4.69
3.46
6.03
4.11
5.91
6.2
5.14
5.55
6.05
5.08
3.4
5.91
4.77
6.65
3.9
5.03
4.63
6.33
5.84
4.27
5.39
4.21
3.83
4.62
4.71
3.71
3.88
5.08
6.39
6.07
4.93
5.36
5.18
4.66
6.64
5.71
6.62
6.58
4.39
5.81
7.09
5.56
3.77
6.63
6.68
5.56
7.38
5.35
5.59
5.09
5.34
5.73
4.72
3.53
6.45
5.43
4.48
3.86
4.05
6.14
6.71
5.4
6.52
4.3
5.01
4.6
5.59
5.59
3.12
4.9
4.67
4.26
6.47
5.78
4.08
4.93
6.86
7.05
4.97
4.65
5.43
5.61
5.78
4.94
5.04
5.7
6.25
5.59
6.12
5.51
4.5
3.04
4.6
4.27
5.57
4.21
5.21
3.83
4.69
4.86
5.64
3.8
4.32
5.83
4.49
6.11
6.84
5.63
4.23
5.93
6.08
5.05
6.01
6.27
5.21
4.61
6.52
5.58
4.02
5.46
5.98
4.43
3.86
4.32
5.98
3.04
5.33
4.82
5.63
4.88
3.71
5.05
5.56
4.86
3.62
3.82
3.14
5.87
4.56
5.2
4.8
3.67
5.89
5.32
6.14
4.93
6.76
2.67
6.13
6.97
6.97
4.6
4.98
4.82
4.99
5.97
4.79
5.24
5.4
4.7
3.28
7.43
6.57
3.83
6.11
5.4
6.54
5.71
6.13
5.6
4.18
5.16
6.37
4.57
5.78
